WGTP,PWGTP,NOC,PERNP,AGEP,CPLT,COW,QTRBIR,SEX,HHL,TEN,RAC1P,SCHL,JWTRNS,ST,
0,9,-1,0,95,0,0,1,2,0,0,2,16,0,26,
0,73,-1,1500,20,0,1,3,1,0,0,1,19,0,26,
0,65,-1,4900,19,0,1,2,2,0,0,1,16,10,26,
0,38,-1,5000,20,0,1,2,1,0,0,1,19,0,26,
0,118,-1,0,80,0,0,1,1,0,0,8,9,0,26,
0,22,-1,0,75,0,0,2,1,0,0,1,23,0,26,
0,87,-1,3000,18,0,1,3,1,0,0,1,18,10,26,
0,82,-1,25000,37,0,4,1,1,0,0,8,19,0,26,
0,114,-1,7900,19,0,6,4,2,0,0,1,19,1,26,
0,56,-1,0,16,0,0,2,1,0,0,9,14,0,26,
0,13,-1,0,78,0,0,2,2,0,0,2,15,0,26,
0,24,-1,0,23,0,0,4,1,0,0,1,15,0,26,
0,28,-1,0,55,0,0,3,1,0,0,1,19,0,26,
0,40,-1,0,56,0,0,3,1,0,0,1,17,0,26,
0,36,-1,3300,48,0,4,1,2,0,0,8,18,0,26,
0,7,-1,0,68,0,0,3,1,0,0,1,1,0,26,
0,17,-1,0,50,0,0,2,1,0,0,2,15,0,26,
0,109,-1,0,95,0,0,2,2,0,0,1,22,0,26,
0,17,-1,0,95,0,0,3,2,0,0,1,16,0,26,
0,110,-1,0,43,0,0,4,1,0,0,1,16,0,26,
0,21,-1,0,39,0,0,4,1,0,0,1,20,0,26,
0,53,-1,2500,19,0,1,3,1,0,0,1,16,0,26,
0,15,-1,0,71,0,0,1,2,0,0,1,16,0,26,
0,121,-1,0,73,0,0,1,2,0,0,1,16,0,26,
0,32,-1,0,77,0,0,1,2,0,0,1,22,0,26,
0,8,-1,0,19,0,1,3,1,0,0,1,16,0,26,
0,58,-1,0,17,0,1,4,2,0,0,6,16,0,26,
0,71,-1,1200,19,0,1,2,2,0,0,1,19,0,26,
0,5,-1,0,33,0,9,1,2,0,0,2,13,0,26,
0,5,-1,0,23,0,0,3,1,0,0,1,14,0,26,
0,60,-1,6000,18,0,1,1,1,0,0,1,18,1,26,
0,95,-1,-10001,0,0,0,4,1,0,0,9,0,0,26,
0,6,-1,0,53,0,1,4,2,0,0,1,17,0,26,
0,41,-1,2000,22,0,1,1,1,0,0,2,19,10,26,
0,20,-1,5000,22,0,4,1,1,0,0,1,19,10,26,
0,79,-1,0,69,0,0,3,2,0,0,1,19,0,26,
0,74,-1,2500,19,0,1,3,1,0,0,9,19,0,26,
0,96,-1,3000,18,0,1,1,1,0,0,1,16,0,26,
0,8,-1,-10001,6,0,0,1,1,0,0,2,4,0,26,
0,65,-1,0,70,0,0,2,1,0,0,2,16,0,26,
0,81,-1,23000,59,0,5,3,2,0,0,1,22,0,26,
0,10,-1,0,60,0,0,1,2,0,0,1,1,0,26,
0,84,-1,2200,20,0,2,3,2,0,0,1,19,10,26,
0,80,-1,8200,21,0,4,2,2,0,0,1,19,10,26,
0,35,-1,4000,20,0,1,2,2,0,0,4,19,10,26,
0,14,-1,0,80,0,0,4,1,0,0,1,18,0,26,
0,9,-1,0,80,0,0,2,2,0,0,9,1,0,26,
0,64,-1,0,20,0,0,2,1,0,0,1,18,0,26,
0,97,-1,0,81,0,0,4,2,0,0,1,21,0,26,
0,74,-1,8200,23,0,4,4,2,0,0,1,16,10,26,
0,17,-1,0,50,0,0,2,2,0,0,1,13,0,26,
0,108,-1,0,27,0,1,4,1,0,0,2,16,0,26,
0,27,-1,0,71,0,0,1,1,0,0,1,19,0,26,
0,26,-1,0,70,0,0,2,1,0,0,1,19,0,26,
0,14,-1,0,72,0,0,1,1,0,0,1,16,0,26,
0,7,-1,7300,20,0,1,2,2,0,0,1,19,10,26,
0,5,-1,0,21,0,0,2,2,0,0,1,19,0,26,
0,130,-1,0,32,0,0,2,1,0,0,2,17,0,26,
0,4,-1,0,86,0,0,1,1,0,0,1,19,0,26,
0,25,-1,0,74,0,0,4,2,0,0,1,16,0,26,
0,34,-1,0,81,0,0,1,2,0,0,1,16,0,26,
0,76,-1,0,80,0,0,2,2,0,0,1,22,0,26,
0,21,-1,1800,64,0,1,4,1,0,0,1,17,0,26,
0,160,-1,2500,33,0,4,1,2,0,0,1,16,0,26,
