PWGTP,PERNP,AGEP,COW,QTRBIR,SEX,RAC1P,SCHL,JWTRNS
57,0,86,0,2,1,1,20,0
10,0,71,0,1,2,2,16,0
16,0,38,0,4,1,1,13,0
15,0,87,0,1,1,1,19,0
20,0,95,0,2,2,1,18,0
12,0,66,0,4,1,2,16,0
24,9000,20,1,2,1,1,19,0
50,6500,18,4,4,1,1,19,10
43,0,17,0,3,1,1,11,0
53,1700,21,4,4,2,1,16,1
43,0,19,1,3,2,1,18,0
25,0,49,0,2,1,1,17,0
26,460,46,2,4,1,9,17,0
18,0,66,0,2,2,1,16,0
65,0,36,0,2,1,1,16,0
67,3000,47,4,4,1,2,19,0
92,0,25,4,4,2,8,22,0
73,8100,18,1,3,1,1,16,10
19,0,71,0,1,2,1,16,0
111,1500,18,1,1,2,1,18,0
8,0,74,0,3,2,1,20,0
109,0,65,0,2,1,1,19,0
37,1500,18,5,2,2,1,16,0
102,0,63,0,3,1,2,14,0
83,400,18,3,1,2,6,18,0
87,0,42,0,2,1,2,13,0
15,0,33,0,2,1,1,16,0
22,0,74,0,3,1,1,21,0
10,0,70,0,3,1,1,16,0
139,0,84,0,1,1,1,16,0
38,0,80,0,4,1,1,22,0
125,0,77,0,2,2,2,16,0
12,0,78,0,3,2,1,13,0
76,10000,26,1,4,1,2,17,0
17,0,74,0,4,2,1,16,0
89,0,32,0,3,1,1,17,0
2,2000,21,2,2,2,6,19,10
18,0,86,0,1,2,1,16,0
34,0,95,0,2,1,1,16,0
90,0,43,0,2,1,8,22,0
42,0,21,0,4,2,1,19,0
10,0,18,1,3,2,1,18,0
34,2500,19,1,3,1,1,16,0
47,35000,27,1,3,1,5,15,0
69,110,51,1,2,2,2,16,1
13,0,30,1,1,1,2,19,0
30,1100,37,4,3,2,1,17,0
32,1100,31,1,1,1,1,17,0
31,0,53,0,1,1,1,6,0
19,0,32,0,2,1,2,17,0
43,0,46,0,2,1,1,18,0
32,0,66,0,4,1,2,12,0
24,0,35,0,3,1,9,19,0
71,0,16,0,2,1,2,12,0
